board	image_links	linked_radxa_images	scope
anbernic-rg-ds	3	0	other-u-boot-source
armsom-aim7-io	3	3	affected-radxa-itb-target
armsom-cm5-io	3	3	affected-radxa-itb-target
armsom-cm5-rpi-cm4-io	3	3	affected-radxa-itb-target
armsom-sige1	3	3	affected-radxa-itb-target
armsom-sige3	3	3	affected-radxa-itb-target
armsom-sige5	6	6	affected-radxa-itb-target
armsom-sige7	6	6	affected-radxa-itb-target
armsom-w3	3	3	affected-radxa-itb-target
bananapim5pro	12	12	affected-radxa-itb-target
bananapim7	16	16	affected-radxa-itb-target
cm3588-nas	6	0	other-u-boot-source
coolpi-cm5	3	0	other-u-boot-source
coolpi-genbook	6	0	other-u-boot-source
cyber-aib-rk3588	6	6	affected-radxa-itb-target
dshanpi-a1	3	3	affected-radxa-itb-target
dshanpi-r1	3	0	other-u-boot-source
easepi-a2	2	0	other-u-boot-source
easepi-r2	2	0	other-u-boot-source
firefly-itx-3588j	3	3	affected-radxa-itb-target
fxblox-rk1	3	3	affected-radxa-itb-target
hinlink-h28k	3	3	affected-radxa-itb-target
hinlink-h66k	3	3	affected-radxa-itb-target
hinlink-h68k	3	3	affected-radxa-itb-target
hinlink-h88k	6	6	affected-radxa-itb-target
hinlink-hnas	3	3	affected-radxa-itb-target
hinlink-ht2	3	3	affected-radxa-itb-target
imb3588	7	7	affected-radxa-itb-target
indiedroid-nova	6	0	other-u-boot-source
jp-tvbox-3566	3	3	affected-radxa-itb-target
khadas-edge2	16	0	other-u-boot-source
lckfb-taishanpi	6	0	other-u-boot-source
lubancat2	3	0	other-u-boot-source
lubancat-5io	3	0	other-u-boot-source
luckfox-core3566	3	3	radxa-alternate-target
mangopi-m28k	3	3	affected-radxa-itb-target
mekotronics-r58-4x4	12	8	affected-radxa-itb-target
mekotronics-r58hd	10	10	affected-radxa-itb-target
mekotronics-r58-minipc	3	3	affected-radxa-itb-target
mekotronics-r58s2	6	0	other-u-boot-source
mekotronics-r58x	3	3	affected-radxa-itb-target
mekotronics-r58x-4g	6	3	affected-radxa-itb-target
mekotronics-r58x-pro	6	0	other-u-boot-source
mixtile-blade3	3	3	affected-radxa-itb-target
mixtile-core3588e	6	0	other-u-boot-source
mixtile-edge2	6	3	affected-radxa-itb-target
nanopct6	16	11	affected-radxa-itb-target
nanopct6-lts	14	10	affected-radxa-itb-target
nanopi-m5	14	0	other-u-boot-source
nanopi-m6	14	0	other-u-boot-source
nanopi-r3s	1	0	other-u-boot-source
nanopi-r3s-lts	10	0	other-u-boot-source
nanopi-r6c	6	0	other-u-boot-source
nanopi-r6s	14	0	other-u-boot-source
nanopi-r76s	14	0	other-u-boot-source
nanopi-zero2	2	2	affected-radxa-itb-target
odroidm1s	3	0	other-u-boot-source
orangepi3b	6	0	other-u-boot-source
orangepi5	14	0	other-u-boot-source
orangepi5b	6	6	affected-radxa-itb-target
orangepi5-max	3	3	affected-radxa-itb-target
orangepi5-plus	14	10	affected-radxa-itb-target
orangepi5pro	6	0	other-u-boot-source
orangepi5-ultra	6	6	affected-radxa-itb-target
panther-x2	0	0	radxa-source-only-eos
photonicat2	3	0	other-u-boot-source
retro-lite-cm5	3	3	affected-radxa-itb-target
rk3566-box-demo	3	0	other-u-boot-source
station-m2	3	3	radxa-alternate-target
station-m3	3	3	affected-radxa-itb-target
turing-rk1	6	0	other-u-boot-source
youyeetoo-r1-v3	6	0	other-u-boot-source
youyeetoo-yy3588	2	0	other-u-boot-source
yy3568	3	3	affected-radxa-itb-target
