board	branch	exposure	status	fdt_bytes	fit_created	streamed_compressed_bytes	sha256	image	alias
armsom-aim7-io	vendor	affected-itb-target	CLEAN	10723	Thu Jul 16 22:36:27 2026	12828672	2f61dd2207b17b5b458207b729371df38b03a01be6484916f2d586d3e2b283b3	Armbian_community_26.8.0-trunk.413_Armsom-aim7-io_resolute_vendor_6.1.115_gnome_desktop.img.xz	armsom-aim7-io/Resolute_vendor_gnome
armsom-aim7-io	vendor	affected-itb-target	CLEAN	10723	Thu Jul 16 22:36:27 2026	13123584	f2447462ba3bdd3be16fc3118503fff4f73289bcde6aa965cf557360860c42b7	Armbian_community_26.8.0-trunk.413_Armsom-aim7-io_resolute_vendor_6.1.115_kde-plasma_desktop.img.xz	armsom-aim7-io/Resolute_vendor_kde-plasma
armsom-aim7-io	vendor	affected-itb-target	CLEAN	10723	Thu Jul 16 22:36:27 2026	13008896	229d6925efa910cc31e15c605bdebcb9c3fcd03d64c5c1ed24c7847f6f6e8519	Armbian_community_26.8.0-trunk.413_Armsom-aim7-io_trixie_vendor_6.1.115_minimal.img.xz	armsom-aim7-io/Trixie_vendor_minimal
armsom-cm5-io	vendor	affected-itb-target	CLEAN	9402	Thu Jul 16 22:27:39 2026	13729018	1c95cbc8eda1bc13c81583fd6aa7d0e25d2fcf0e15f72f200c4446a2d57dbdeb	Armbian_community_26.8.0-trunk.413_Armsom-cm5-io_resolute_vendor_6.1.115_gnome_desktop.img.xz	armsom-cm5-io/Resolute_vendor_gnome
armsom-cm5-io	vendor	affected-itb-target	CLEAN	9402	Thu Jul 16 22:27:39 2026	13680640	640649b0297aa999633ae0860b8508a1606649a7beb34bd52281dcf4959e8fb6	Armbian_community_26.8.0-trunk.413_Armsom-cm5-io_resolute_vendor_6.1.115_kde-plasma_desktop.img.xz	armsom-cm5-io/Resolute_vendor_kde-plasma
armsom-cm5-io	vendor	affected-itb-target	CLEAN	9402	Thu Jul 16 22:27:39 2026	14614528	406e744703c5f2fdb57b020a4bccdeaeec2de0815b1462caccda43313118defb	Armbian_community_26.8.0-trunk.413_Armsom-cm5-io_trixie_vendor_6.1.115_minimal.img.xz	armsom-cm5-io/Trixie_vendor_minimal
armsom-cm5-rpi-cm4-io	vendor	affected-itb-target	CLEAN	9402	Thu Jul 16 22:44:47 2026	12763136	58d8635768f7c7ffc28273909f5be5d4239c6aa75637c25f56a96fa8387b58f8	Armbian_community_26.8.0-trunk.413_Armsom-cm5-rpi-cm4-io_resolute_vendor_6.1.115_gnome_desktop.img.xz	armsom-cm5-rpi-cm4-io/Resolute_vendor_gnome
armsom-cm5-rpi-cm4-io	vendor	affected-itb-target	CLEAN	9402	Thu Jul 16 22:44:47 2026	12746752	075ad9958ea69ea71799a5c8db661c2c4e4ba8283461aaccd91de117bf56c693	Armbian_community_26.8.0-trunk.413_Armsom-cm5-rpi-cm4-io_resolute_vendor_6.1.115_kde-plasma_desktop.img.xz	armsom-cm5-rpi-cm4-io/Resolute_vendor_kde-plasma
armsom-cm5-rpi-cm4-io	vendor	affected-itb-target	CLEAN	9402	Thu Jul 16 19:45:12 2026	12812288	544db2030f039a8c62f66259763a92dbe248059c4437b7c324f9df0458bb89d4	Armbian_community_26.8.0-trunk.413_Armsom-cm5-rpi-cm4-io_trixie_vendor_6.1.115_minimal.img.xz	armsom-cm5-rpi-cm4-io/Trixie_vendor_minimal
armsom-sige1	vendor	affected-itb-target	CLEAN	7992	Thu Jul 16 22:40:03 2026	12730368	dea54afe50b3d3e8a4eecb03d468da4cca0e7f931365350fe42d7bae73af80a7	Armbian_community_26.8.0-trunk.413_Armsom-sige1_resolute_vendor_6.1.115_gnome_desktop.img.xz	armsom-sige1/Resolute_vendor_gnome
