board	branch	image_links	boot_source	boot_branch	boot_patch_dir	target_kind	scope
anbernic-rg-ds	edge	3	https://github.com/u-boot/u-boot.git	tag:v2026.01	v2026.01	u-boot-rockchip.bin	other-u-boot-source
armsom-aim7-io	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
armsom-cm5-io	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
armsom-cm5-rpi-cm4-io	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
armsom-sige1	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
armsom-sige3	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
armsom-sige5	edge	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
armsom-sige5	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
armsom-sige7	current	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
armsom-sige7	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
armsom-w3	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
bananapim5pro	edge	1	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
bananapim5pro	vendor	11	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
bananapim7	current	5	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
bananapim7	vendor	11	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
cm3588-nas	current	3	https://github.com/u-boot/u-boot.git	tag:v2026.07	v2026.07	u-boot-rockchip.bin	other-u-boot-source
cm3588-nas	vendor	3	https://github.com/u-boot/u-boot.git	tag:v2026.07	v2026.07	u-boot-rockchip.bin	other-u-boot-source
coolpi-cm5	edge	3	https://github.com/Kwiboo/u-boot-rockchip.git	tag:v2024.07	v2024.07-coolpi-cm5	u-boot-rockchip.bin	other-u-boot-source
coolpi-genbook	edge	3	https://github.com/u-boot/u-boot.git	tag:v2025.04	v2025.01-rc3-coolpi-cm5	u-boot-rockchip.bin	other-u-boot-source
coolpi-genbook	vendor	3	https://github.com/u-boot/u-boot.git	tag:v2025.04	v2025.01-rc3-coolpi-cm5	u-boot-rockchip.bin	other-u-boot-source
cyber-aib-rk3588	edge	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
cyber-aib-rk3588	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
dshanpi-a1	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
dshanpi-r1	vendor	3	https://github.com/u-boot/u-boot	tag:v2024.10	v2024.10	u-boot-rockchip.bin	other-u-boot-source
easepi-a2	current	2	https://github.com/u-boot/u-boot	tag:v2025.10	v2025.10	u-boot-rockchip.bin	other-u-boot-source
easepi-r2	current	2	https://github.com/u-boot/u-boot	tag:v2025.10	v2025.10	u-boot-rockchip.bin	other-u-boot-source
firefly-itx-3588j	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
fxblox-rk1	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
hinlink-h28k	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
hinlink-h66k	current	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
hinlink-h68k	current	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
hinlink-h88k	edge	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
hinlink-h88k	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
hinlink-hnas	current	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
hinlink-ht2	vendor	3	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
imb3588	vendor	7	https://github.com/radxa/u-boot.git	branch:next-dev-v2024.10	legacy/u-boot-radxa-rk35xx	sibling-u-boot.itb	affected-radxa-itb-target
indiedroid-nova	current	3	https://github.com/stvhay/u-boot.git	branch:rockchip-rk3588-unified	legacy	sibling-u-boot.itb	other-u-boot-source
