board	status	fdt_bytes	fit_created	streamed_compressed_bytes	sha256	image	alias
radxa-cm4-io	CLEAN	20092	Fri Feb  6 19:44:21 2026	13204766	624e5f80151478b3bdffb4cfdc0f4fd2fd020766585444a5551c853b16282239	Armbian_26.2.1_Radxa-cm4-io_sid_vendor_6.1.115-kali.img.xz	radxa-cm4-io/Sid_vendor_server-kali
radxa-cm4-io	CLEAN	20092	Fri Feb  6 19:44:21 2026	13270290	925a8c073517a9e8fe82df72ca9d7798d7ab72753b06d2f85144093b7dd9742f	Armbian_26.2.1_Radxa-cm4-io_trixie_vendor_6.1.115-homeassistant.img.xz	radxa-cm4-io/Trixie_vendor_server-homeassistant
radxa-cm4-io	CLEAN	20092	Fri Feb  6 19:44:21 2026	13057553	2d39a576f71075c89123451deee9d5859ab59c748178c20688c9cbb022f1e4aa	Armbian_26.2.1_Radxa-cm4-io_trixie_vendor_6.1.115-omv_minimal.img.xz	radxa-cm4-io/Trixie_vendor_minimal-omv
radxa-cm4-io	CLEAN	20092	Fri Feb  6 19:44:21 2026	13221143	10a255ce19a4a3011524d0cdc452b2709b75088239c5eba5b326c3a071dcef1b	Armbian_26.2.1_Radxa-cm4-io_trixie_vendor_6.1.115-openhab.img.xz	radxa-cm4-io/Trixie_vendor_server-openhab
radxa-cm4-io	CLEAN	20092	Sun May 24 01:01:58 2026	12746752	971b0341b7ec2c03b55caa8263681c1a6c4a858c51c585f90afcef865534cb54	Armbian_26.5.1_Radxa-cm4-io_resolute_vendor_6.1.115_gnome_desktop.img.xz	radxa-cm4-io/Resolute_vendor_gnome
radxa-cm4-io	CLEAN	20092	Sun May 24 01:01:58 2026	12730368	c8c62869bd8b5269b4f5043fe2db2ee9921f697ac95a2a7ecf79868069d8baaf	Armbian_26.5.1_Radxa-cm4-io_resolute_vendor_6.1.115_kde-plasma_desktop.img.xz	radxa-cm4-io/Resolute_vendor_kde-plasma
radxa-cm4-io	CLEAN	20092	Sun May 24 01:01:58 2026	12730368	db9cfdf64c107a9425e9bdac474ae3fa1597e1ea57e7e03f9bb77b6478e9bd46	Armbian_26.5.1_Radxa-cm4-io_resolute_vendor_6.1.115_minimal.img.xz	radxa-cm4-io/Resolute_vendor_minimal
radxa-cm4-io	CLEAN	20092	Sun May 24 01:01:58 2026	12713984	0a0de8e26466ab3413a6b912c12a7090a29dac06691fd271fa3d8ea6c004a0d2	Armbian_26.5.1_Radxa-cm4-io_trixie_vendor_6.1.115_minimal.img.xz	radxa-cm4-io/Trixie_vendor_minimal
radxa-cm4-io	CLEAN	20092	Sat Jul 11 23:47:28 2026	12976128	414b23a4ba492cb27a48bede907e8bbadf3e24cfac0ac7ba3d66e2a9cac13a34	Armbian_26.8.0-trunk.400_Radxa-cm4-io_forky_vendor_6.1.115_minimal.img.xz	nightly/radxa-cm4-io/Forky_vendor_minimal
radxa-cm4-io	CLEAN	20092	Sat Jul 11 23:47:28 2026	14064133	5833ecd402057ef28367cdc31a71c99cf4394ad62f7c0071a40f0728e8fa6abc	Armbian_26.8.0-trunk.400_Radxa-cm4-io_resolute_vendor_6.1.115_gnome_desktop.img.xz	nightly/radxa-cm4-io/Resolute_vendor_gnome
