board	family	image_links	classification
cubie-a7z	sun60iw2	1	NOT_AFFECTED_BY_8227
radxa-cubie-a5e	sun55iw3	1	NOT_AFFECTED_BY_8227
radxa-dragon-q6a	qcs6490	8	NOT_AFFECTED_BY_8227
radxa-dragon-q8b	sc8280xp	2	NOT_AFFECTED_BY_8227
radxa-nio-12l	genio	16	NOT_AFFECTED_BY_8227
radxa-zero	meson-g12a	9	NOT_AFFECTED_BY_8227
radxa-zero2	meson-g12b	2	NOT_AFFECTED_BY_8227
rock-4se	rockchip64	2	NOT_AFFECTED_BY_8227
rockpi-4a	rockchip64	2	NOT_AFFECTED_BY_8227
rockpi-4b	rockchip64	2	NOT_AFFECTED_BY_8227
rockpi-4bplus	rockchip64	2	NOT_AFFECTED_BY_8227
rockpi-4c	rockchip64	2	NOT_AFFECTED_BY_8227
rockpi-4cplus	rockchip64	2	NOT_AFFECTED_BY_8227
rockpi-e	rockchip64	8	NOT_AFFECTED_BY_8227
rockpi-n10	rockchip64	2	NOT_AFFECTED_BY_8227
rockpi-s	rockchip64	9	NOT_AFFECTED_BY_8227
rock-s0	rockchip64	9	NOT_AFFECTED_BY_8227
