id	first_message_id	patches	mbox_sha256	integration
csi-dphy-2500	20260630-feature-mipi-csi-dphy-4k60-v3-1-176792ab71fa@wolfvision.net	3	b90b452224ffe67a50c1cfe6fbb2d09287d2a6f27331e5cf7feae1697c31147a	applied
dp-altmode-race	20260717232612.3671978-2-rdbabiera@google.com	1	5f3476185a4097a2ae254a69c87f99655af6d89cdc4d377b2be96ed3acdf3ed0	applied
dw-dp-improvements	20260731-synopsys-dw-dp-improvements-v8-0-ac1e6a75782f@collabora.com	21	997074e60f10e28ed3ef19c5b9219bb46922e484404ebb06a9885fa621e40b4f	reconciled
emmc-dll-quirk	1775632729-22841-1-git-send-email-shawn.lin@rock-chips.com	1	6479de269bd5927e335d3ee8a28fff6c299635a51fc9014df0100c8e690ef86e	upstream
emmc-platform-refactor	1774657762-152522-1-git-send-email-shawn.lin@rock-chips.com	1	031161fe1eaba82a21e8ed3809928218601236f27d84cd0bf2bcacc8e9dd1b05	upstream
force-color-format	20260609-color-format-v17-1-35739b5782cc@collabora.com	28	5716b468bbde033b5216df2719aea22d63c1d7cb12dc466c09025844d7c63c9c	applied
hdmi-2-scrambling	20260731-dw-hdmi-qp-scramb-v10-0-294364b2cf15@collabora.com	69	4a2ca4ce9a78b2e6b8904ff27d3bff68c19a7bdc53c5eee4f1536ed265f61472	reconciled
hdmi-audio-warnings	20260519-fix-hdmi-audio-warnings-v1-1-9608966c993f@collabora.com	1	7d269f8932a54233f464292660e048d27e373d455f5c464299c314a0bb3ae5e3	applied
hdmi-qp-audio-ncts	86fcf349-0a7a-4618-9001-612371b0f71b@symple.nz	1	70168ad154f4c2e92c2042ba96ff2e185a65a83c6f1710f28160b59e772960c9	reconciled
hdmi-infoframe-limit	20260107-limit-infoframes-2-v4-1-213d0d3bd490@oss.qualcomm.com	10	c49a4c46d6eaad08cce456f3f8c7ca011494c2a1309eab7d24d8ff244acf0a00	upstream
