source	commit	url	integration	subject
collabora-rockchip-release	46d8cdefd4386da606946f43cd5791375d1fe7e2	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/46d8cdefd4386da606946f43cd5791375d1fe7e2	applied	phy: hdmi: Add optional FRL TxFFE config options
collabora-rockchip-release	ad1bdc21d92db82800a74e10d9015caef13c61a0	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/ad1bdc21d92db82800a74e10d9015caef13c61a0	applied	phy: rockchip: samsung-hdptx: Add support for FRL TxFFE level control
collabora-rockchip-release	8587fc7f6a7c910def708d2b4a06501dd485c075	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/8587fc7f6a7c910def708d2b4a06501dd485c075	applied	[WIP-update-fixes] phy: rockchip: samsung-hdptx: Handle PHY config after module reload
collabora-rockchip-release	3077378a79c48331c53d10ec1f7db9c275ae1086	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/3077378a79c48331c53d10ec1f7db9c275ae1086	upstream	drm/bridge: Remove redundant error check in drm_bridge_helper_reset_crtc()
collabora-rockchip-release	080a524daf73490568f03f3b94d8dba7c54e3540	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/080a524daf73490568f03f3b94d8dba7c54e3540	reconciled	drm/bridge: Add detect_ctx hook and drm_bridge_detect_ctx() helper
collabora-rockchip-release	62f2df71dd4ec65e831493cf32c13428687175e6	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/62f2df71dd4ec65e831493cf32c13428687175e6	upstream	drm/bridge-connector: Use cached connector status in .get_modes()
collabora-rockchip-release	21e921be134df9c534f62633878c882d847c3992	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/21e921be134df9c534f62633878c882d847c3992	reconciled	drm/bridge-connector: Switch to .detect_ctx() for connector detection
collabora-rockchip-release	862e8f474c075170d4574e429b08f69602fae048	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/862e8f474c075170d4574e429b08f69602fae048	superseded-by-public-hdmi2	drm/bridge: dw-hdmi-qp: Add HDMI 2.0 SCDC scrambling and high TMDS clock ratio support
collabora-rockchip-release	4a79b7c7df1df75b1cec0f59145375e678721b14	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/4a79b7c7df1df75b1cec0f59145375e678721b14	upstream	drm/bridge: dw-hdmi-qp: Rate limit i2c read error messages
collabora-rockchip-release	1c38429c108e5afb9ae2faebe542b83bcbe59109	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/1c38429c108e5afb9ae2faebe542b83bcbe59109	superseded-by-public-scdc	drm/display: scdc: Convert bit-field macros to use BIT()
collabora-rockchip-release	395c033f7ef5b1a24b41151da0d992d752c37b8e	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/395c033f7ef5b1a24b41151da0d992d752c37b8e	reconciled	drm/display: scdc: Add HDMI 2.1 FRL register definitions
collabora-rockchip-release	8f9d99372838e0267a181ca0f2fc0f954a2ca5f9	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/8f9d99372838e0267a181ca0f2fc0f954a2ca5f9	reconciled	drm/display: scdc-helper: Add FRL link training control functions
collabora-rockchip-release	6238c8a8d9b87a3dda335dac8fac9ce7705efa48	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/6238c8a8d9b87a3dda335dac8fac9ce7705efa48	applied	drm/display: hdmi: Provide hook for HDMI 2.1 FRL mode validation
collabora-rockchip-release	3925e0fdbe762d314570cb1aa628f0e8e8d2a426	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/3925e0fdbe762d314570cb1aa628f0e8e8d2a426	reconciled	drm/display: bridge-connector: Wire up rate validation for HDMI 2.1 bridges
collabora-rockchip-release	f5e16402f2f258265ef4782c4c1f7e2e35fd79dc	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/f5e16402f2f258265ef4782c4c1f7e2e35fd79dc	reconciled	drm/rockchip: vop2: Scale ACLK rate up for RK3588 FRL display modes
collabora-rockchip-release	0cfde8fb208814f2863e794e6ff89f5c96c25681	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/0cfde8fb208814f2863e794e6ff89f5c96c25681	reconciled	drm/rockchip: dw_hdmi_qp: Consolidate link config into dedicated struct
collabora-rockchip-release	e36ccf87df1ff1a14bde4097537e659179a3b018	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/e36ccf87df1ff1a14bde4097537e659179a3b018	reconciled	drm/bridge: dw-hdmi-qp: Log resolution and refresh rate in atomic_enable()
collabora-rockchip-release	9cade53a267d84f42cb6abeb331734c1870def4c	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/9cade53a267d84f42cb6abeb331734c1870def4c	superseded-by-public-ncts	drm/bridge: dw-hdmi-qp: Replace sentinel entries with ARRAY_SIZE() iteration
collabora-rockchip-release	9a2090bf507ece92bad324f3f0d861efa3f71f29	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/9a2090bf507ece92bad324f3f0d861efa3f71f29	reconciled	drm/bridge: dw-hdmi-qp: Add HDMI 2.1 FRL support
collabora-rockchip-release	49e76abaf1f7f3626fd66099c1d7228f8f67d2f1	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/49e76abaf1f7f3626fd66099c1d7228f8f67d2f1	applied	drm/bridge: dw-hdmi-qp: Add TxFFE level control support
collabora-rockchip-release	1929d4e2a0442e190f6eb67878dd01292171e1e1	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/1929d4e2a0442e190f6eb67878dd01292171e1e1	reconciled	drm/rockchip: dw_hdmi_qp: Wire up FRL operating mode
collabora-rockchip-release	93308bc7b35a67c4e11ba649cab3db75a8490228	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/93308bc7b35a67c4e11ba649cab3db75a8490228	applied	drm/rockchip: dw_hdmi_qp: Wire up TxFFE level adjustment
collabora-rockchip-release	220b0367234d06e105b5f526929499047d82c9ed	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/220b0367234d06e105b5f526929499047d82c9ed	already-in-public-dt	arm64: dts: rockchip: Add frl-enable-gpios to rk3588 boards
collabora-rockchip-release	7651dd0d7a97a3eabddd9b8fa6be40f65f2b1cb7	https://gitlab.collabora.com/hardware-enablement/rockchip-3588/linux/-/commit/7651dd0d7a97a3eabddd9b8fa6be40f65f2b1cb7	applied	drm/rockchip: Select SND_SOC_HDMI_CODEC for ROCKCHIP_DW_HDMI_QP
